Episode,Score,Move count,Highest tile,Final grid
29996,15440,896,1024,"[[   8   16    2    8]
 [  64  512   32    2]
 [   2 1024  256    4]
 [  32   16    4    2]]"
36778,15440,900,1024,"[[   8 1024  512    2]
 [   4    8   64    4]
 [   2   32  256   32]
 [   8    4   16    2]]"
32322,15440,902,1024,"[[   2  512   16    4]
 [1024  256    4    2]
 [   4   32   64    8]
 [  32    4    2    4]]"
37408,15436,895,1024,"[[   2   16    2   32]
 [   4    8  512   64]
 [   2 1024  256    8]
 [   4   32   16    4]]"
36904,15432,890,1024,"[[   2  512   32   16]
 [   4   64   16    8]
 [1024  256   32    2]
 [   2    4   16    4]]"
41503,15432,900,1024,"[[   2 1024  512    4]
 [  32  256   32    2]
 [   8    2   64    4]
 [   2    4   16    2]]"
40522,15432,897,1024,"[[   8    4  512   16]
 [ 256 1024   32    8]
 [   8   64    8    4]
 [   4   32    4    2]]"
31955,15428,897,1024,"[[1024  512   64   32]
 [ 256   32    8    4]
 [   8   16    4    2]
 [   2    8    2    4]]"
35544,15428,903,1024,"[[1024  512  256   64]
 [   8   32    4    2]
 [  32    4    8    4]
 [   4    2    4    2]]"
29026,15428,898,1024,"[[ 512   32    4    2]
 [   2    8   64   32]
 [1024    2   16    4]
 [ 256    8    4    2]]"
35001,15424,885,1024,"[[   2   64    2  512]
 [   4   32    4   32]
 [1024    4  256    8]
 [   8    2   32    4]]"
34812,15424,927,1024,"[[   8  128    2   16]
 [1024  512   64    8]
 [  64  128   32    4]
 [   2    4    8    2]]"
40895,15416,891,1024,"[[   2 1024  512    2]
 [  16   64  256   32]
 [   4   16   32    8]
 [   2    4    2    4]]"
28390,15416,910,1024,"[[   2  128   64    4]
 [1024  512   32    2]
 [  64  128   16   32]
 [   2    4    8    2]]"
21728,15388,888,1024,"[[   2 1024    2  256]
 [  64  512   16    2]
 [  32    8    2    4]
 [   8    2    4   32]]"
30640,15376,896,1024,"[[  16  512   32    2]
 [   8  256   64    4]
 [   4   16 1024    8]
 [   2    8    4    2]]"
29298,15372,894,1024,"[[   2    8  256   64]
 [   4  512 1024    4]
 [  16    8   32   16]
 [   8    4    2    8]]"
36996,15368,883,1024,"[[1024  512  256    2]
 [   2   64    4   32]
 [  32   16    2    8]
 [   2    8    4    2]]"
28469,15356,895,1024,"[[   8    2   16    2]
 [1024  512   64    8]
 [   4  256    8    2]
 [   2   32    4    8]]"
25594,15340,883,1024,"[[   2  256  512    2]
 [  16 1024   16   64]
 [   8   16    4   32]
 [   2    4    8    2]]"
28488,15340,889,1024,"[[1024  512    4   16]
 [  32  256   64    2]
 [   4    2   16    4]
 [   2    8    4    2]]"
28945,15336,891,1024,"[[1024  512  256    2]
 [   4   32    8   64]
 [  16    8    4    2]
 [   8    4    2    4]]"
41870,15332,886,1024,"[[1024    2  512    2]
 [   2   16  256    8]
 [   4   32   64    2]
 [   2    8   16    4]]"
34135,15332,893,1024,"[[  16  512   64   16]
 [   2  256   16    8]
 [  16 1024    8    4]
 [   4    2    4    2]]"
15827,15328,889,1024,"[[1024  512   64   16]
 [ 256   32    8    4]
 [   2    8    4    2]
 [   8    4    2    4]]"
36286,15328,900,1024,"[[   2 1024  512    4]
 [ 128   64  128   64]
 [   4   16   32    8]
 [   2    4   16    4]]"
33718,15320,884,1024,"[[1024  512  256   32]
 [  64   16    4    2]
 [  16    4    2    4]
 [   2    8    4    2]]"
40573,15320,891,1024,"[[   2    4  256    8]
 [1024  512   64    2]
 [   8    4   32    8]
 [   4    8    4    2]]"
24371,15316,898,1024,"[[1024    2   32    4]
 [   8  512    4   32]
 [   4  256   32   16]
 [   2   16    4    2]]"
32904,15312,885,1024,"[[   2  512    8    4]
 [   4 1024  256    8]
 [  16    2   64   32]
 [   2    4    8    2]]"
24101,15292,887,1024,"[[   2 1024  512   16]
 [ 256   64   16    8]
 [   8   16    8    4]
 [   4    2    4    2]]"
34100,15292,880,1024,"[[ 256    2    4    2]
 [   2    8   16   32]
 [1024  512   64    2]
 [   4    8    4    8]]"
20174,15284,885,1024,"[[   2    4    8    4]
 [  16 1024    4    2]
 [   4  256   64   16]
 [ 512    8   16    8]]"
39273,15280,877,1024,"[[1024  512  256   32]
 [  64   16    8    2]
 [   8    4    2    4]
 [   4    8    4    2]]"
39880,15272,876,1024,"[[ 512    4    8    2]
 [   2   16  256   32]
 [1024   64    8    4]
 [   4    2    4    2]]"
19315,15268,886,1024,"[[1024  512   64   16]
 [ 256   16    8    2]
 [   8    4    2    4]
 [   4    8    4    2]]"
40389,15268,869,1024,"[[   2 1024  512    2]
 [   8   16  256    4]
 [   2    8   64   32]
 [   8    2    4   16]]"
39334,15260,869,1024,"[[   4    2 1024    4]
 [   2  512  256   16]
 [   8   16   64    2]
 [   2    4   32    4]]"
32808,15256,895,1024,"[[ 256    2    4    2]
 [   2    4   16   32]
 [1024  512   32   16]
 [   2    8   16    4]]"
36966,15256,869,1024,"[[1024  256    2    4]
 [ 512   32   16    2]
 [  16   64    2    4]
 [   4    2    4    2]]"
39300,15244,879,1024,"[[   8 1024  512   16]
 [ 256   64   16    8]
 [   2    4    8    4]
 [   4    8    4    2]]"
34114,15216,903,1024,"[[  32 1024    4   16]
 [ 128  512  128    4]
 [   8   64   32    2]
 [   2    4   16    8]]"
37418,15216,889,1024,"[[   2    4    8   32]
 [   4  512  256   16]
 [1024    8   32    4]
 [   4    2    4   16]]"
29204,15212,902,1024,"[[   2    4 1024    2]
 [   4  512  128   32]
 [  32  128   64   16]
 [   8    2   16    8]]"
39649,15200,880,1024,"[[   4  512   32   16]
 [   2 1024  256    8]
 [  16   32   16    4]
 [   2    4    8    2]]"
34076,15200,885,1024,"[[   2 1024  512    2]
 [   4   16  256   32]
 [   8    4   32    8]
 [   4    2   16    4]]"
41505,15200,885,1024,"[[1024  512  256   32]
 [   2   16    4   16]
 [  32    4    8    4]
 [   2    8    4    2]]"
36090,15192,879,1024,"[[1024  512  256    2]
 [  16   32   16   32]
 [   2    8    4    2]
 [  16    4    2    4]]"
25194,15188,880,1024,"[[1024  512  256    2]
 [   8   32   16   32]
 [  16    8    4    8]
 [   8    4    2    4]]"
21713,15188,876,1024,"[[1024  512  256   32]
 [   8   32   16    8]
 [   4   16    8    2]
 [   2    4   16    4]]"
40886,15176,878,1024,"[[   4  512  256   16]
 [   2    8   32    8]
 [  32 1024   16    2]
 [   2    8    2    4]]"
39420,15172,874,1024,"[[1024  512    2   32]
 [   8   16    4   16]
 [   4   32  256    4]
 [   2    4   16    2]]"
24069,15168,877,1024,"[[   4  256  512    2]
 [1024   32    2   16]
 [   2    8   16    8]
 [   4    2   32    4]]"
30825,15164,876,1024,"[[1024  512    2    8]
 [  16  256   32    4]
 [   4   16    2   32]
 [   2    8    4    2]]"
